Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,65977749036.9844,85500935934.9901,94337050693.2727,96045645026.178,110803391516.698,142137319587.629,159942880456.956,159117799530.388,174388271853.6,169717677900.734,171885598582.637,190521263343.023,198680637254.902,217513049291.61,255102252843.395,306123628496.368,344745746326.373,429061382275.371,533813299020.422,439793916861.639,479321460551.189,528832185770.217,500360816827.883,524234322596.975,545389126644.476,477581376840.43,472037130972.913,526380811261.345,587114101392.696,592164400687.607
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-7.01557879626546,2.51497861145195,3.73831030826788,5.29280205834708,6.95185662838654,6.05662449874127,6.45952575633689,4.61469534050178,4.64217581134069,4.55954936021523,1.24796792188687,2.04162373954937,3.5624666652234,5.13565081223253,3.49322521636648,6.17933520622964,7.03522671476404,4.24978830587841,2.82012481637605,3.60752243410988,5.017235199938,1.60790664456468,1.39189232124922,3.31844753700079,3.83907133877577,3.06390811613761,4.93766324502775,5.34902511508139,4.1470237556496
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,1731.20953112388,2235.54108862521,2459.02068468253,2497.19524116689,2874.8253108452,3682.79121526652,4140.98354114142,4116.92624282821,4510.41311705999,4389.97641534208,4492.72760355938,4981.1986188017,5196.93292103894,5693.37776322597,6681.17881781198,8020.96316435897,9038.65480730812,11255.379833753,14001.3815599165,11527.5344226464,12599.5335818707,13893.509259001,13145.5392627865,13781.0626053813,14347.9145754456,12572.4266045561,12431.8158916231,13861.3093648235,15460.6442805468,15595.2270334259
Poland,POL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-7.34479099941517,2.20106585130313,3.47468277315942,5.07085551428395,6.80679892202083,5.97597347000533,6.38986508127847,4.57729881885128,4.65086435323825,5.65722346986865,1.27590317817217,2.08889928313758,3.63238736489788,5.19718655848509,3.53871940199579,6.24664298514051,7.09336800228925,4.23557233579366,2.75047418319676,3.90385794796654,4.96078291677343,1.6081495649773,1.45311095910361,3.39580644564703,3.90829390192577,3.10821979495984,4.92456773838559,5.34923595322803,4.15765490056548
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,21650000000,18000000000,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,63080457022.6599
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-1.19999556980412,-9.60000139597706,-7.60000184221087,-11.7000038975536,-10.4000004914994,2.80000465053934,11.4000054053548,8.39999142031994,3.39999916322964,5.80000344007456,4.72530599387507,5.04526748002185,7.04319255874692,11.4497431053961,9.40000152357688,9.99999481247369,8.60000653624813,10.1999994395436,0.199995310014472,7.79826682269731,5.37870744981015,1.68713553642841,1.00347084085645,1.72638485417005,-3.82957055828382,-2.52644643552361,2.53218350023035,3.14919759374963,1.22209662862558
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.84051428011,1765.74455562095,1667.68177731373,1590.09588197453,1460.0590758956,1370.67655885011,1452.44548758328,1396.5017856782,1511.77005267883,1210.6117195862,1276.2880341,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5351.35538243278,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5761.74712023007,6330.0752464187,6663.29529282582
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,-1.24845545033688,-9.79467641254797,-7.8075611700387,-11.5963958059109,-10.1099475207539,3.14402041413366,11.8734857090447,8.9167457740964,3.83582293409472,6.29963644799008,5.26389213061603,5.71608241057706,7.79491791221358,12.2126183222786,10.1497671724788,10.6755867998733,9.09945997853629,10.5813049917168,0.423651190903357,7.98206918275517,5.57238583709254,1.78036177565718,0.987444297302417,1.63497132996299,-3.98264886374076,-2.6487098312428,2.56748260752468,3.30979210664741,1.40004793095767
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1771671207359.88,1868945197407.19,2131571696931.75,2071323790370.28,2205074123177.05,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194204133816.32,1943145384190.16,1944107382550.34,2068624129493.69,2496128668171.56,2809187981127.39,2845802760850.64,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83,3665804120835.3,3949548833952.94,3845630030823.52
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.25500608859595,5.10826150765951,1.92807343038962,-0.979339906561634,2.398049086341,1.5347974754814,0.820953826499334,1.7836372384923,2.01904748909297,1.89195900764383,2.89518694712132,1.69773236086638,-0.198459062728844,-0.713533477235572,1.18991490034335,0.721853764966724,3.81458790454661,2.98407727316592,0.96226644174557,-5.69715162828702,4.1789690378929,3.92413341771297,0.41955108005358,0.428243261672193,2.22568874914928,1.73974982269824,2.22999996699747,2.46503002917808,1.52744629830981,0.564174893341843
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,22303.9613327585,23357.757725073,26438.2303888417,25522.6295733618,27076.60675014,31658.3493789135,30485.8665482279,26964.0494672673,27289.0593603191,26725.9152182573,23635.9292203977,23607.8828553922,25077.7290759602,30243.5765296979,34044.0536341248,34507.3688142332,36323.4477421822,41587.2128984264,45427.151677489,41485.9016495139,41531.9341978689,46644.776027968,43858.3630551076,46285.7640688407,47959.9932737599,41139.5445685533,42098.9204453545,44349.5896552757,47639.0034407122,46258.8782897052
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.3516390599903,4.3452200412476,1.15600535384446,-1.62815805671195,2.04348990653529,1.23682029236684,0.529524482684437,1.63482315268979,2.00359925047853,1.82612284877355,2.75592866985347,1.52679480360456,-0.3661127401014,-0.768486531800832,1.2118853400525,0.779058121105464,3.93175422981199,3.12187822350019,1.15442159396983,-5.45790087234482,4.33869191573952,5.8685566312854,0.231212502717355,0.154547997552854,1.80042003787038,0.862787538298775,1.4081021738692,2.08280772084919,1.22278723255135,0.289556721376243
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,40477403219.5176,29675502269.5661,34590052812.1684,40614350197.2353,47554674590.9328,59775697061.0399,66985765439.1937,61792161168.0011,66490372105.1262,64867483193.1315,61649492816.5201,67523642262.4009,81910771993.9155,99627140274.3805,119162172468.268,136280689891.224,155463807112.889,189227050759.595,235718586901.129,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195090272402.729,215913545038.43,244987409830.533,246489245494.882
